KEY_CODE,人口総数,小地域,男,女,世帯総数
271410010,2528,堺市堺区浅香山町,1175,1353,1104
27141001001,548,堺市堺区浅香山町１丁,268,280,248
27141001002,720,堺市堺区浅香山町２丁,341,379,337
27141001003,1260,堺市堺区浅香山町３丁,566,694,519
271410020,1121,堺市堺区旭ケ丘北町,573,548,547
27141002001,268,堺市堺区旭ケ丘北町１丁,178,90,169
27141002002,292,堺市堺区旭ケ丘北町２丁,132,160,147
27141002003,230,堺市堺区旭ケ丘北町３丁,109,121,106
27141002004,330,堺市堺区旭ケ丘北町４丁,153,177,124
27141002005,1,堺市堺区旭ケ丘北町５丁,1,-,1
271410030,1160,堺市堺区旭ケ丘中町,549,611,500
27141003001,322,堺市堺区旭ケ丘中町１丁,151,171,173
27141003002,339,堺市堺区旭ケ丘中町２丁,166,173,172
27141003003,297,堺市堺区旭ケ丘中町３丁,139,158,112
27141003004,202,堺市堺区旭ケ丘中町４丁,93,109,43
271410040,781,堺市堺区旭ケ丘南町,374,407,346
27141004001,171,堺市堺区旭ケ丘南町１丁,83,88,87
27141004002,151,堺市堺区旭ケ丘南町２丁,78,73,63
27141004003,252,堺市堺区旭ケ丘南町３丁,118,134,118
27141004004,207,堺市堺区旭ケ丘南町４丁,95,112,78
271410050,322,堺市堺区旭通,147,175,132
271410060,183,堺市堺区綾之町西,87,96,77
27141006001,81,堺市堺区綾之町西１丁,37,44,33
27141006002,54,堺市堺区綾之町西２丁,28,26,17
27141006003,48,堺市堺区綾之町西３丁,22,26,27
271410070,342,堺市堺区綾之町東,172,170,156
27141007001,284,堺市堺区綾之町東１丁,140,144,127
27141007002,58,堺市堺区綾之町東２丁,32,26,29
271410080,98,堺市堺区石津北町,60,38,47
271410090,2268,堺市堺区石津町,1089,1179,957
27141009001,677,堺市堺区石津町１丁,313,364,276
27141009002,292,堺市堺区石津町２丁,126,166,131
27141009003,1044,堺市堺区石津町３丁,523,521,444
27141009004,255,堺市堺区石津町４丁,127,128,106
271410100,775,堺市堺区一条通,388,387,412
271410110,550,堺市堺区市之町西,254,296,267
27141011001,29,堺市堺区市之町西１丁,19,10,26
27141011002,445,堺市堺区市之町西２丁,207,238,199
27141011003,76,堺市堺区市之町西３丁,28,48,42
271410120,778,堺市堺区市之町東,372,406,436
27141012001,58,堺市堺区市之町東１丁,31,27,40
27141012002,117,堺市堺区市之町東２丁,53,64,44
27141012003,186,堺市堺区市之町東３丁,88,98,104
27141012004,131,堺市堺区市之町東４丁,64,67,78
27141012005,176,堺市堺区市之町東５丁,82,94,122
27141012006,110,堺市堺区市之町東６丁,54,56,48
271410130,3977,堺市堺区今池町,1828,2149,1443
27141013001,658,堺市堺区今池町１丁,307,351,304
27141013002,624,堺市堺区今池町２丁,303,321,250
27141013003,770,堺市堺区今池町３丁,332,438,91
27141013004,737,堺市堺区今池町４丁,311,426,326
27141013005,188,堺市堺区今池町５丁,98,90,64
27141013006,1000,堺市堺区今池町６丁,477,523,408
271410140,868,堺市堺区永代町,438,430,411
27141014001,191,堺市堺区永代町１丁,92,99,120
27141014002,155,堺市堺区永代町２丁,82,73,75
27141014003,-,堺市堺区永代町３丁,-,-,-
27141014004,242,堺市堺区永代町４丁,120,122,79
27141014005,111,堺市堺区永代町５丁,60,51,48
27141014006,169,堺市堺区永代町６丁,84,85,89
271410150,2866,堺市堺区榎元町,1317,1549,1286
27141015001,490,堺市堺区榎元町１丁,201,289,219
27141015002,219,堺市堺区榎元町２丁,103,116,118
27141015003,462,堺市堺区榎元町３丁,211,251,203
27141015004,720,堺市堺区榎元町４丁,351,369,324
27141015005,586,堺市堺区榎元町５丁,273,313,239
27141015006,389,堺市堺区榎元町６丁,178,211,183
271410160,3041,堺市堺区戎島町,1402,1639,1491
27141016001,1278,堺市堺区戎島町１丁,544,734,682
27141016002,1137,堺市堺区戎島町２丁,547,590,528
27141016003,547,堺市堺区戎島町３丁,266,281,228
27141016004,78,堺市堺区戎島町４丁,44,34,52
27141016005,1,堺市堺区戎島町５丁,1,-,1
271410170,513,堺市堺区戎之町西,237,276,256
27141017001,393,堺市堺区戎之町西１丁,186,207,176
