施設名,郵便番号,都道府県名,市名,区名,住所,電話番号,FAX番号,緯度,経度,ホームページURL,最寄り駅①,最寄り駅②,最寄りのバス停①,最寄りのバス停②
三宝小学校,590-0906,大阪府,堺市,堺区,大阪府堺市堺区三宝町5丁286,072-238-0001,072-238-0002,34.59314978,135.4723879,http://www.sakai.ed.jp/sambo-e/,南海線　七道駅,,南海バス　海山通４丁,
市小学校,590-0951,大阪府,堺市,堺区,大阪府堺市堺区市之町西3丁1-14,072-223-4610,072-232-1058,34.57990938,135.4712381,http://www.sakai.ed.jp/ichi-e/,南海線　堺駅,,南海バス　市小学校前,
錦綾小学校　,590-0006,大阪府,堺市,堺区,大阪府堺市堺区錦綾町1丁6-19,072-228-5183,072-232-2730,34.58596268,135.4860191,http://www.sakai.ed.jp/kinryo-e/,阪堺線　綾之町,,南海バス　錦綾町,
浅香山小学校,590-0018,大阪府,堺市,堺区,大阪府堺市堺区今池町5丁4-43,072-238-0003,072-238-0004,34.58568358,135.4947413,http://www.sakai.ed.jp/asakayama-e/,南海高野線　浅香山駅,JR阪和線　浅香駅,,
錦小学校,590-0934,大阪府,堺市,堺区,大阪府堺市堺区九間町東3丁1-17,072-232-1036,072-229-3999,34.58443026,135.4828602,http://www.sakai.ed.jp/nishiki-e/,阪堺線　神明町,南海高野線　堺東,,
熊野小学校,590-0946,大阪府,堺市,堺区,大阪府堺市堺区熊野町東5丁1-49,072-233-3227,072-233-3228,34.57651519,135.479288,http://www.sakai.ed.jp/yuya-e/,南海高野線　堺東駅,,南海バス　熊野小学校前,
錦西小学校,590-0938,大阪府,堺市,堺区,大阪府堺市堺区神明町西2丁1-1,072-232-1056,072-227-8541,34.58536223,135.4783597,http://www.sakai.ed.jp/kinsai-e/,阪堺線　神明町,,,
榎小学校,590-0027,大阪府,堺市,堺区,大阪府堺市堺区榎元町2丁3-11,072-233-2552,072-233-2553,34.57032033,135.4857993,http://www.sakai.ed.jp/enoki-e/,南海高野線　堺東駅,,,
三国丘小学校,590-0021,大阪府,堺市,堺区,大阪府堺市堺区北三国ヶ丘町5丁1-1,072-232-2818,072-221-4217,34.57518377,135.4928332,http://www.sakai.ed.jp/mikunigaoka-e/,JR阪和線　堺市駅,南海高野線　堺東,南海バス　田出井町,
英彰小学校,590-0961,大阪府,堺市,堺区,大阪府堺市堺区寺地町西4丁1-1,072-221-8666,072-221-8667,34.57604261,135.4658709,http://www.sakai.ed.jp/eisho-e/,阪堺線　寺地町,南海本線　堺駅,,
新湊小学校,590-0835,大阪府,堺市,堺区,大阪府堺市堺区西湊町6丁6-1,072-244-6776,072-244-6777,34.56575626,135.4615429,http://www.sakai.ed.jp/shinminato-e/,南海線　湊駅,阪堺線　東湊,,
少林寺小学校,590-0963,大阪府,堺市,堺区,大阪府堺市堺区少林寺町東4丁1-1,072-232-1126,072-232-1128,34.57069354,135.4718577,http://www.sakai.ed.jp/shorinji-e/,阪堺線　寺地町,,南海バス　栄泰橋,
安井小学校,590-0064,大阪府,堺市,堺区,大阪府堺市堺区南安井町4丁1-5,072-238-5341,072-238-5342,34.57022518,135.4782473,http://www.sakai.ed.jp/yasui-e/,南海高野線　堺東駅,,南海バス　一条通,南海バス　安井町
大仙小学校,590-0801,大阪府,堺市,堺区,大阪府堺市堺区大仙中町16-1,072-241-0888,072-241-0889,34.56035706,135.4790826,http://www.sakai.ed.jp/daisen-e/,JR阪和線　百舌鳥駅,,南海バス　大仙町,
神石小学校,590-0814,大阪府,堺市,堺区,大阪府堺市堺区石津町2丁6-1,072-241-2151,072-241-2158,34.55486055,135.4671959,http://www.sakai.ed.jp/kamiishi-e/,JR阪和線　上野芝駅,,南海バス　霞ヶ丘,
大仙西小学校,590-0821,大阪府,堺市,堺区,大阪府堺市堺区大仙西町4丁129,072-241-2977,072-241-2990,34.56445573,135.4720279,http://www.sakai.ed.jp/daisennishi-e/,阪堺線　御陵前,,南海バス　御陵通3丁,南海バス　工業学校前
東百舌鳥小学校,599-8234,大阪府,堺市,中区,大阪府堺市中区土塔町139,072-236-0288,072-236-0289,34.53824718,135.5084609,http://www.sakai.ed.jp/higashimozu-e/,南海高野線　白鷺駅,泉北高速鉄道　深井,,
土師小学校,599-8238,大阪府,堺市,中区,大阪府堺市中区土師町3丁35-1,072-277-9020,072-277-9022,34.53848224,135.499744,http://www.sakai.ed.jp/haze-e/,泉北高速鉄道　深井駅,,,
宮園小学校,599-8274,大阪府,堺市,中区,大阪府堺市中区宮園町4-1,072-278-0981,072-278-0999,34.52574449,135.495572,http://www.sakai.ed.jp/miyazono-e/,泉北高速鉄道　深井駅,,南海バス　八田荘団地,
久世小学校,599-8251,大阪府,堺市,中区,大阪府堺市中区平井999,072-278-0324,072-278-2051,34.52075994,135.495798,http://www.sakai.ed.jp/kuze-e/,泉北高速鉄道　深井駅,,南海バス　久世小学校前,
福田小学校,599-8241,大阪府,堺市,中区,大阪府堺市中区福田727,072-235-9286,072-235-9287,34.52472842,135.5185725,http://www.sakai.ed.jp/fukuda-e/,,,南海バス　金山,南海バス　西山
東陶器小学校,599-8242,大阪府,堺市,中区,大阪府堺市中区東陶器2556,072-236-0036,072-236-0020,34.51851408,135.5221352,http://www.sakai.ed.jp/higashitoki-e/,,,南海バス　福田中,
西陶器小学校,599-8246,大阪府,堺市,中区,大阪府堺市中区田園570,072-236-0035,072-236-0446,34.50977748,135.5120169,http://www.sakai.ed.jp/nishitoki-e/,,,南海バス　田園,
深井小学校,599-8272,大阪府,堺市,中区,大阪府堺市中区深井中町1409,072-278-0108,072-279-5706,34.53511401,135.4918551,http://www.sakai.ed.jp/fukai-e/,泉北高速鉄道　深井駅,,南海バス　中深井,
深阪小学校,599-8253,大阪府,堺市,中区,大阪府堺市中区深阪5-15-1,072-237-3210,072-237-3215,34.50909052,135.5081857,http://www.sakai.ed.jp/fukasaka-e/,,,南海バス　田園,
八田荘小学校,599-8267,大阪府,堺市,中区,大阪府堺市中区八田寺町231,072-271-0335,072-273-9070,34.52717937,135.4808578,http://www.sakai.ed.jp/hattasho-e/,,,南海バス　鈴の宮団地東口,
八田荘西小学校,599-8266,大阪府,堺市,中区,大阪府堺市中区毛穴町268-2,072-270-0048,072-270-0049,34.52713073,135.4758038,http://www.sakai.ed.jp/hattashonishi-e/,,,南海バス　八田荘西小学校前,南海バス　鈴の宮北口
深井西小学校,599-8271,大阪府,堺市,中区,大阪府堺市中区深井北町926,072-278-6301,072-278-6302,34.53912787,135.4837469,http://www.sakai.ed.jp/fukainishi-e/,JR阪和線　上野芝駅,,南海バス　北深井,
東深井小学校,599-8237,大阪府,堺市,中区,大阪府堺市中区深井水池町3214,072-278-2791,072-278-2792,34.53095968,135.5010199,http://www.sakai.ed.jp/higashifukai-e/,泉北高速鉄道　深井駅,,,
八下西小学校,599-8104,大阪府,堺市,東区,大阪府堺市東区引野町1丁110,072-286-1611,072-286-1612,34.55066357,135.5226835,http://www.sakai.ed.jp/yashimonishi-e/,南海高野線　白鷺駅,,,
白鷺小学校,599-8107,大阪府,堺市,東区,大阪府堺市東区白鷺町2丁8-1,072-285-8585,072-285-0822,34.54484709,135.515406,http://www.sakai.ed.jp/shirasagi-e/,南海高野線　白鷺駅,,,
日置荘西小学校,599-8114,大阪府,堺市,東区,大阪府堺市東区日置荘西町6丁9-1,072-285-5238,072-285-5239,34.53839427,135.5251286,http://www.sakai.ed.jp/hikishonishi-e/,南海高野線　初芝駅,,,
日置荘小学校,599-8114,大阪府,堺市,東区,大阪府堺市東区日置荘西町2丁46-1,072-285-0260,072-285-8002,34.54133192,135.5341437,http://www.sakai.ed.jp/hikisho-e/,南海高野線　萩原天神駅,,南海バス　日置荘小学校前,
南八下小学校,599-8103,大阪府,堺市,東区,大阪府堺市東区菩提町5丁228,072-285-0614,072-285-0509,34.54701745,135.5380671,http://www.sakai.ed.jp/minamiyashimo-e/,南海高野線　初芝駅,,,
登美丘西小学校,599-8126,大阪府,堺市,東区,大阪府堺市東区大美野135,072-236-0031,072-236-0051,34.52680573,135.528789,http://www.sakai.ed.jp/tomiokanishi-e/,南海高野線　北野田駅,,南海バス　西小学校前,
登美丘東小学校,599-8122,大阪府,堺市,東区,大阪府堺市東区丈六224,072-236-2130,072-236-2131,34.52681243,135.5400087,http://www.sakai.ed.jp/tomiokahigashi-e/,南海高野線　北野田駅,,,
登美丘南小学校,599-8127,大阪府,堺市,東区,大阪府堺市東区草尾596,072-236-6051,072-236-6052,34.51785578,135.5364528,http://www.sakai.ed.jp/tomiokaminami-e/,南海高野線　北野田駅,,,
野田小学校,599-8123,大阪府,堺市,東区,大阪府堺市東区北野田897-2,072-236-0065,072-236-6250,34.52376154,135.551125,http://www.sakai.ed.jp/noda-e/,南海高野線　北野田駅,,,
浜寺石津小学校,592-8334,大阪府,堺市,西区,大阪府堺市西区浜寺石津町中2丁3-28,072-241-6505,072-241-6504,34.55947643,135.4553937,http://www.sakai.ed.jp/hamaderaishiz-e/,南海線　石津川駅,,,
浜寺東小学校,592-8341,大阪府,堺市,西区,大阪府堺市西区浜寺船尾町東1丁101,072-265-1141,072-265-1142,34.55100406,135.4579886,http://www.sakai.ed.jp/hamaderahigashi-e/,阪堺線　石津　船尾,南海本線　諏訪ノ森駅,,
浜寺小学校,592-8349,大阪府,堺市,西区,大阪府堺市西区浜寺諏訪森町東2丁163,072-261-9407,072-261-9408,34.5492844,135.4515117,http://www.sakai.ed.jp/hamadera-e/,阪堺線　船尾,南海本線　諏訪ノ森,,
浜寺昭和小学校,592-8345,大阪府,堺市,西区,大阪府堺市西区浜寺昭和町2丁282,072-261-0677,072-261-9227,34.54190393,135.4495454,http://www.sakai.ed.jp/hamaderashowa-e/,南海線　浜寺公園駅,阪堺線　浜寺駅前,,
鳳小学校,593-8327,大阪府,堺市,西区,大阪府堺市西区鳳中町2丁22,072-262-0124,072-262-8132,34.53405321,135.4589729,http://www.sakai.ed.jp/otori-e/,JR阪和線　鳳駅,,,
